projsym,method,abstract,mpdsector,paneldesc,nstrains,sexes,pophints,intervention,ages,pistring,projyear
Donahue1,"metabolic panel","Thyroxine (serum).",pheno,"inbred w/CC7",30,both,,,15-16wks,"Donahue L",2002
Donahue1,"hormone quantification","Osteocalcin, insulin-like growth factor 1.",pheno,"inbred w/CC7",30,both,,,15-16wks,"Donahue L",2002
Donahue10,"colony observation","Reproduction, fecundity. Litter size, litter interval, percent weaned, pup sexes.",pheno,"B6.A consomic",20,f,,,3-53wks,"Donahue L",2011
Donahue11,"colony observation","Reproduction, fecundity. Litter size, litter interval, percent weaned, pup sexes.",pheno,"B6.PWD consomic",26,f,,,4-55wks,"Donahue L",2011
Donahue12,"colony observation","Reproduction, fecundity. Litter size, litter interval, percent weaned, pup sexes.",pheno,"AXB BXA",28,f,,,3-50wks,"Donahue L",2011
Donahue13,"colony observation","Reproduction, fecundity. Litter size, litter interval, percent weaned, pup sexes.",pheno,CXB,13,f,,,3-50wks,"Donahue L",2011
Donahue14,"colony observation","Reproduction, fecundity. Litter size, litter interval, percent weaned, pup sexes.",pheno,BXD,42,f,,,3-60wks,"Donahue L",2011
Donahue15,"colony observation","Reproduction, fecundity. Litter size, litter interval, percent weaned, pup sexes.",pheno,BXH,11,f,,,3-55wks,"Donahue L",2011
Donahue16,DXA,"Body mass, fat mass, bone mineral density.",pheno,"B6.A consomic w/par",23,both,,,24-29wks,"Donahue L",2012
Donahue17,"colony observation","Reproduction, fecundity. Litter size, litter interval, percent weaned, pup sexes.",pheno,BXD,30,f,,,3-57wks,"Donahue L",2011
Donahue18,"monitoring system","Gestation duration and weight gain during pregnancy.",pheno,inbred,15,f,,,6-8wks,"Donahue L",2010
Donahue18,"colony observation","Reproduction, fecundity. Litter size, percent survival to day 3.",pheno,inbred,15,f,,,6-8wks,"Donahue L",2010
Donahue18,"body weight","Pup body weight at day 3.",pheno,inbred,15,f,,,6-8wks,"Donahue L",2010
Donahue19,"monitoring system","Gestation duration and weight gain during pregnancy.",pheno,"B6.A consomic w/par",22,f,,,6-8wks,"Donahue L",2010
Donahue19,"colony observation","Reproduction, fecundity. Litter size, percent survival to day 3.",pheno,"B6.A consomic w/par",22,f,,,6-8wks,"Donahue L",2010
Donahue19,"body weight","Pup body weight at day 3.",pheno,"B6.A consomic w/par",22,f,,,6-8wks,"Donahue L",2010
Donahue2,"body weight",,pheno,inbred,10,both,,,16wks,"Donahue L, Beamer WG, Bogue MA, Churchill GA",2004
Donahue2,"muscle weights","Quadriceps muscle.",pheno,inbred,10,both,,,16wks,"Donahue L, Beamer WG, Bogue MA, Churchill GA",2004
Donahue2,DXA,"Femur bone mineral density and content, thigh cross sectional areas.",pheno,inbred,10,both,,,16wks,"Donahue L, Beamer WG, Bogue MA, Churchill GA",2004
Donahue2,"bone dimensions",Femur.,pheno,inbred,10,both,,,16wks,"Donahue L, Beamer WG, Bogue MA, Churchill GA",2004
Donahue2,"computed tomography","Bone morphology (femur).",pheno,inbred,10,both,,,16wks,"Donahue L, Beamer WG, Bogue MA, Churchill GA",2004
Donahue2,"biomechanical test","Bone strength.",pheno,inbred,10,both,,,16wks,"Donahue L, Beamer WG, Bogue MA, Churchill GA",2004
Donahue3,"open field test","Locomotor activity, anxiety-related behavior, involuntary movement. 10 min test.",pheno,"B6.A consomic w/par",22,both,,,6-7wks,"Donahue L, Lake J",2011
Donahue3,"hole board test","Exploratory behavior. 10 min test.",pheno,"B6.A consomic w/par",22,both,,,6-7wks,"Donahue L, Lake J",2011
Donahue4,"open field test","Locomotor activity, anxiety-related behavior, involuntary repetitive movement. 10 min test.",pheno,"B6.PWD consomic w/par",28,both,,,6wks,"Donahue L",2011
Donahue5,"immune cell quantification","White blood cell and immune cell differentials.",pheno,"B6.A consomic w/par",22,both,,,7wks,"Donahue L",2011
Donahue6,"immune cell quantification","White blood cell and immune cell differentials.",pheno,"B6.PWD consomic w/par",28,both,,,7wks,"Donahue L",2011
Donahue7,"immunoglobulin quantification","Immunoglobulin concentrations (plasma).",pheno,"B6.A consomic w/par",22,both,,,9wks,"Donahue L",2012
Donahue8,"immunoglobulin quantification","Immunoglobulin concentrations (plasma).",pheno,"B6.PWD consomic w/par",28,both,,,9wks,"Donahue L",2011
Donahue9,"metabolic panel","Clinical blood chemistry (serum). 4h fast.",pheno,"B6.PWD consomic w/par",25,both,,,11wks,"Donahue L",2011
Doorenbos1,"study archive","Urinalysis. Creatinine, microalbumin, body weight.",qtla,"QTL population",,m,"C57BL/6J x A/J and A/J x B6.Apoe-/- intercrosses",,8-10wks,"Doorenbos C, Churchill GA",2008
Dorward1,"study archive","Ovarian granulosa cell tumors histopathology.",qtla,"QTL population",,f,"CAST/EiJ x SWXJ9/BmJ intercross",,8wks,"Dorward AM, Churchill GA",2005
Dzur-Gejdosova1,"study archive","Sterility investigation. Sperm count, testes weight.",qtla,"QTL population",,m,"PWD/Ph and C57BL/6J backcross",,9wks,"Dzur-Gejdosova1 M, Simecek P",2012
Esposito1,histopathology,"Frequency rates of disorders seen during histopathology survey of various organs.",phenoarchive,inbred,6,both,,,,"Esposito I",2013
Eumorphia1,"complete blood count",Hematology.,pheno,inbred,8,both,,,12wks,"Eumorphia / Europhenome",2007
Eumorphia1,"lipid profile","Cholesterol, HDL, non-HDL, triglycerides, free fatty acids. Plasma.",pheno,inbred,8,both,,,12wks,"Eumorphia / Europhenome",2007
Eumorphia1,"metabolic panel","Clinical blood chemistry (plasma). Unknown fast.",pheno,inbred,8,both,,,12wks,"Eumorphia / Europhenome",2007
Eumorphia2,DXA,"Body mass, fat mass, lean mass, bone mineral density and content.",pheno,inbred,5,both,,,"12, 24, 52 wks","Eumorphia / Europhenome",2008
Eumorphia3,"glucose tolerance","0 to 180 min after 20% glucose i.p. 16h fast.",pheno,inbred,4,both,,,"12, 24, 52 wks","Eumorphia / Europhenome",2008
Eumorphia4,"intake monitoring","Food intake. Daily.",pheno,inbred,4,both,,,"12, 24 wks","Eumorphia / Europhenome",2008
Eumorphia5,"body temperature","Hourly readings in cold room. 6h test.",pheno,inbred,4,both,,,12wks,"Eumorphia / Europhenome",2008
Eumorphia6,echocardiography,"Cardiovascular function and morphology.",pheno,inbred,4,both,,,12wks,"Eumorphia / Europhenome",2008
Eumorphia6,"organ weights","Cardiac ventricle weight.",pheno,inbred,4,both,,,12wks,"Eumorphia / Europhenome",2008
Eumorphia6,"tail cuff","Heart rate.",pheno,inbred,4,both,,,12wks,"Eumorphia / Europhenome",2008
Eumorphia7,"immunoglobulin quantification","Immunoglobulin concentrations (serum).",pheno,inbred,6,both,,,9-12wks,"Eumorphia / Europhenome",2008
Everett1,"body weight",,pheno,inbred,14,both,,,9-12wks,"Everett ET",2003
Everett1,"bone dimensions","Craniofacial bone dimensions.",pheno,inbred,14,both,,,9-12wks,"Everett ET",2003
Evsikova1,"body weight",,pheno,inbred,14,both,,,25wks,"Evsikova CM, Svenson KL",2009
Evsikova1,"monitoring system","Locomotor activity. Aging study. 24h test with 12h light and 12h dark phases.",pheno,inbred,14,both,,,25wks,"Evsikova CM, Svenson KL",2009
Evsikova1,"intake monitoring","Food intake, water intake at 6mo. Light phase, dark phase, total.",pheno,inbred,14,both,,,25wks,"Evsikova CM, Svenson KL",2009
Farmer1,"study archive","Colitis susceptibility, severity. Colon histopathology, body and spleen weight.",qtla,"QTL population",,both,"IL-10-deficient mice",,6wks,"Farmer MA, Churchill GA",2001
Feng1,"study archive","Blood pressure (tail cuff), kidney weight, body weight.",qtla,"QTL population",,m,"8 mouse intercross populations",,8wks,"Feng M, Churchill GA",2009
Ferris1,"body weight",,pheno,"CC pre w/par",163,f,,"influenza A (H1N1) virus",8-16wks,"Ferris MT, Bottomly D, McWeeney SK, Heise MT",2012
Ferris1,"health assessment","Clinical health assessment score and strain susceptibility index 4 days after infection with influenza A (H1N1) virus.",pheno,"CC pre w/par",163,f,,"influenza A (H1N1) virus",8-16wks,"Ferris MT, Bottomly D, McWeeney SK, Heise MT",2012
Ferris1,"in vitro assay","Viral replication log titer 4 days after infection with influenza A (H1N1) virus. In vitro.",pheno,"CC pre w/par",163,f,,"influenza A (H1N1) virus",8-16wks,"Ferris MT, Bottomly D, McWeeney SK, Heise MT",2012
Ferris1,histopathology,"Lungs and airway 4 days after infection with influenza A (H1N1) virus.",pheno,"CC pre w/par",163,f,,"influenza A (H1N1) virus",8-16wks,"Ferris MT, Bottomly D, McWeeney SK, Heise MT",2012
Finn1,"bottle choice test","Voluntary consumption of ethanol, and ethanol with saccharin (several doses in water).",pheno,inbred,22,both,,,8-12wks,"Finn DA, Murillo A, Yoneyama N, Crabbe JC",2007
Flaherty1,"elevated zero maze","Anxiety-related behaviors.",pheno,inbred,8,both,,,8-9wks,"Flaherty L, Cook MN, Williams RW",2001
Frankel1,"electroconvulsion test","Electroconvulsive thresholds. Lamotrigine. 2 test sites.",pheno,inbred,16,both,,lamotrigine,6-11wks,"Frankel WN, White HS",2000
Gatti2,"study archive","Whole blood neutrophil count and white cell count.",qtla,"DO population",1,both,,,10-12wks,"Gatti DM",2014
Gavras1,"tail cuff","Heart rate and blood pressure. Sodium chloride (1% solution for 2wks) vs. control.",pheno,inbred,11,both,,"sodium chloride",9-12wks,"Gavras H, Johns C, Paigen B, Peters LL",2003
Gershenfeld1,"tail suspension test","Immobility. Baseline (saline) vs. imipramine i.p. 6 min test.",pheno,inbred,12,m,,imipramine,5-10wks,"Gershenfeld HK",2003
Gershenfeld1,"light-dark box","Anxiety-related behavior. Baseline (saline) vs. imipramine i.p. 10 min test.",pheno,inbred,12,m,,imipramine,5-10wks,"Gershenfeld HK",2003
Gershenfeld1,"open field test","Locomotor activity, exploratory and anxiety-related behavior. Baseline (saline) vs. imipramine i.p.",pheno,inbred,12,m,,imipramine,5-10wks,"Gershenfeld HK",2003
Golani1,"open field test","Locomotor activity, exploratory and anxiety-related behavior.",pheno,inbred,8,m,,,10wks,"Golani I, Elmer GI, Kafkafi N, Benjamini Y",2003
Gould1,"forced swim test","Lithium (several doses) vs. control. 6 min test.",pheno,inbred,11,m,,lithium,7-8wks,"Can A, Gould TD",2011
Gould1,"drug and metabolite quantification","Lithium concentration in brain tissue and blood serum after lithium (several doses).",pheno,inbred,11,m,,lithium,7-8wks,"Can A, Gould TD",2011
Gould2,"drug and metabolite quantification","Amount of nicotine and cotinine in blood plasma after nicotine doses. High and lower doses.",pheno,inbred,8,m,,nicotine,8-12wks,"Portugal GS, Gould TJ",2011
Gould2,"behavior observation","Observed measures of anxiety. Nicotine (high dose) vs. control. 20 min period.",pheno,inbred,8,m,,nicotine,8-12wks,"Portugal GS, Gould TJ",2011
Gould2,"elevated plus maze","Measures of anxiety. Nicotine (high dose) vs. control. 5 min test.",pheno,inbred,8,m,,nicotine,8-12wks,"Portugal GS, Gould TJ",2011
Gould2,"fear conditioning test","Contextual fear, cued fear. Nicotine (high and several lower doses) vs. control.",pheno,inbred,8,m,,nicotine,8-12wks,"Portugal GS, Gould TJ",2011
Gould3,"behavior observation","Observed measures of anxiety during nicotine withdrawal. Nicotine (several high doses) vs. control.",pheno,inbred,8,m,,nicotine,8-12wks,"Portugal GS, Gould TJ",2011
Gould3,"elevated plus maze","Measures of anxiety during nicotine withdrawal. Nicotine (several high doses) vs. control.",pheno,inbred,8,m,,nicotine,8-12wks,"Portugal GS, Gould TJ",2011
Gould3,"fear conditioning test","Contextual fear, cued fear during nicotine withdrawal. Nicotine (high and several lower doses) vs. control.",pheno,inbred,8,m,,nicotine,8-12wks,"Portugal GS, Gould TJ",2011
Gould4,"conditioned place preference test","Nicotine preference and learning effect. Nicotine-treated vs. control. 2 trials (day 5, day 10).",pheno,inbred,8,m,,nicotine,8-10wks,"Kutlu MG, Ortega LA, Gould TJ",2014
Graham1,"body weight",,pheno,"CC RIX",5,m,,"West Nile virus",8-10wks,"Graham JB, Thomas S, Gale Jr. M, Lund JM",2015
Graham1,"health assessment","Clinical score.",pheno,"CC RIX",5,m,,"West Nile virus",8-10wks,"Graham JB, Thomas S, Gale Jr. M, Lund JM",2015
Graham1,"immune cell quantification","T cell populations in brain and spleen.",pheno,"CC RIX",5,m,,"West Nile virus",8-10wks,"Graham JB, Thomas S, Gale Jr. M, Lund JM",2015
Graham1,"RNA expression profiling","Viral load and expression of Ifnb1 and Ifit1 in brain, kidney and spleen.",pheno,"CC RIX",5,m,,"West Nile virus",8-10wks,"Graham JB, Thomas S, Gale Jr. M, Lund JM",2015
Graubert1,"complete blood count",Hematology.,pheno,inbred,20,both,,ENU,"9wks; 12-64wks","Graubert TA, Watters JW, McLeod HL",2006
Graubert1,histopathology,"Tumor growth frequency rates. ENU mutagen 100 mg/kg vs. control.",pheno,inbred,20,both,,ENU,"9wks; 12-64wks","Graubert TA, Watters JW, McLeod HL",2006
Gros1,"in vitro assay","Susceptibility to infection with Candida albicans.",pheno,inbred,36,f,,"Candida albicans",8-12wks,"Radovanovic I, Mullick A, Gros P",2011
Gros1,"genotype assessment","C5 allele sufficiency or deficiency.",pheno,inbred,36,f,,"Candida albicans",8-12wks,"Radovanovic I, Mullick A, Gros P",2011
Gros2,"health assessment","Survival score and susceptibility, Plasmodium chabaudi.",pheno,inbred,25,both,,"Plasmodium chabaudi",8-10wks,"Gros P",2012
Gros2,microscopy,"Percent of Plasmodium chabaudi-infected erythrocytes in blood.",pheno,inbred,25,both,,"Plasmodium chabaudi",8-10wks,"Gros P",2012
Guay-Woodford1,"study archive","Kidney morphology, renal cystic disease severity.",qtla,"QTL population",,f,"BALB/c-Bicc1jcpk-bpk x CAST/EiJ F2 progeny",,2wks,"Guay-Woodford LM, Churchill GA",2000
Gupta1,"body weight","Body weight of newborns.",pheno,inbred,8,both,,,postnatal,"Gupta IR",2011
Gupta1,"organ weights","Kidney weight of newborns.",pheno,inbred,8,both,,,postnatal,"Gupta IR",2011
Gupta1,"organ dimensions","Kidney morphology of newborns. Planar surface area.",pheno,inbred,8,both,,,postnatal,"Gupta IR",2011
Gupta1,"renal function assay","Vesico-ureteric reflux in newborns. Kidney function.",pheno,inbred,8,both,,,postnatal,"Gupta IR",2011
Gupta2,"body weight","Body weight of newborns.",pheno,BXH,10,both,,,postnatal,"Gupta IR",2011
Gupta2,"organ weights","Kidney weight of newborns.",pheno,BXH,10,both,,,postnatal,"Gupta IR",2011
Gupta2,"organ dimensions","Kidney morphology of newborns. Planar surface area.",pheno,BXH,10,both,,,postnatal,"Gupta IR",2011
Gupta2,"renal function assay","Vesico-ureteric reflux in newborns. Kidney function.",pheno,BXH,10,both,,,postnatal,"Gupta IR",2011
Hackstein1,"immune cell quantification","Respiratory dendritic cell subsets and lymphocyte populations.",pheno,inbred,5,m,,,7-11wks,"Hackstein H",2012
Hadsell1,"colony observation","Maternal nurturing study.",pheno,inbred,31,f,,,14-18wks,"Hadsell DL",2012
Hadsell1,"body weight","Daily body weight gain of cross-fostered pups.",pheno,inbred,31,f,,,14-18wks,"Hadsell DL",2012
Hageman1,"study archive","eQTL, urinary albumin excretion using microarray.",qtla,"QTL population",,m,"MSxSM F2 intercross",,8-10wks,"Hageman RS, Churchill GA",2011
Hampton1,ECG,"Heart rate and wave intervals. Conscious.",pheno,inbred,17,both,,,9-12wks,"Hampton TG, Paigen B, Seburn KL",2001
Handel1,"body weight",,pheno,inbred,14,m,,,8-10wks,"Handel M",2010
Handel1,"organ weights","Male reproductive organ weights. Seminal vesicles, testicles.",pheno,inbred,14,m,,,8-10wks,"Handel M",2010
Handel1,"sperm count","Sperm count. Hemocytometer.",pheno,inbred,14,m,,,8-10wks,"Handel M",2010
Harrill1,"body weight","Body weight. Isoniazid-treated vs. control.",pheno,inbred,34,f,,isoniazid,8-10wks,"Harrill A",2011
Harrill1,"organ weights","Body, liver, kidney weights. Isoniazid-treated vs. control.",pheno,inbred,34,f,,isoniazid,8-10wks,"Harrill A",2011
Harrill1,"metabolic panel","Alanine transaminase. Isoniazid-treated vs. control.",pheno,inbred,34,f,,isoniazid,8-10wks,"Harrill A",2011
Harrill1,"lipid profile","Cholesterol, triglycerides. Hepatic lipids. Isoniazid-treated vs. control.",pheno,inbred,34,f,,isoniazid,8-10wks,"Harrill A",2011
Harrill1,histopathology,"Liver pathology scores. Isoniazid-treated vs. control.",pheno,inbred,34,f,,isoniazid,8-10wks,"Harrill A",2011
Harrill2,"body weight","DB289-treated vs. control.",pheno,inbred,34,f,,DB289,6-8wks,"Harrill A",2012
Harrill2,"metabolic panel","Blood urea nitrogen, alanine transaminase, creatinine. DB289-treated vs. control.",pheno,inbred,34,f,,DB289,6-8wks,"Harrill A",2012
Harrill2,urinalysis,"Urine volume, creatinine. DB289-treated vs. control.",pheno,inbred,34,f,,DB289,6-8wks,"Harrill A",2012
Harrill2,"organ weights","Kidney and liver weights. DB289-treated vs. control.",pheno,inbred,34,f,,DB289,6-8wks,"Harrill A",2012
Harrill2,"biomarker quantification","Kidney injury molecule 1 (KIM-1). DB289-treated vs. control.",pheno,inbred,34,f,,DB289,6-8wks,"Harrill A",2012
Harrill2,"drug and metabolite quantification","Kidney metabolite (DB75) concentration. DB289-treated vs. control.",pheno,inbred,34,f,,DB289,6-8wks,"Harrill A",2012
Haston1,"health assessment","Survival rate and health assessment after exposure to radiation. Number of days without respiratory distress (max 26 wks).",pheno,inbred,26,both,,radiation,15-36wks,"Haston CK",2012
Haston1,"bronchoalveolar lavage assessment","Bronchoalveolar cell differential after exposure to radiation (18 Gy).",pheno,inbred,26,both,,radiation,15-36wks,"Haston CK",2012
Haston1,histopathology,"Post exposure to radiation.",pheno,inbred,26,both,,radiation,15-36wks,"Haston CK",2012
Hawes1,"slit lamp","Eye morphology. Frequency rates of disorders.",pheno,"inbred w/CC7",41,both,,,6-7wks,"Hawes NL, Chang B, Davisson MT",2008
Hawes1,ophthalmoscopy,"Retinal fundoscopic examination.",pheno,"inbred w/CC7",41,both,,,6-7wks,"Hawes NL, Chang B, Davisson MT",2008
Hillebrands1,histopathology,"Kidney pathology at 20mo.",pheno,inbred,23,both,,,87wks,"Hillebrands J, Korstanje R",2014
HMDPpheno1,DXA,"Bone mineral density (whole body, femur, spine).",pheno,HMDP,96,m,,,16wks,"Farber CR, Bennett BJ, Orozco L, Eskin E, Lusis AJ",2011
HMDPpheno10,"metabolite quantification","Liver metabolic profiling. Molecular measures of nucleotides, peptides. 16h fast.",pheno,HMDP,106,m,,,16wks,"Ghazalpour A, Bennett BJ, Orozco L, Lusis AJ",2014
HMDPpheno2,NMR,"Percent fat.",pheno,HMDP,99,m,,,16wks,"Bennett BJ, Farber CR, Orozco L, Eskin E, Lusis AJ",2010
HMDPpheno2,"lipid profile","Cholesterol, HDL, non-HDL, triglycerides, free fatty acids. 16h fast, plasma.",pheno,HMDP,99,m,,,16wks,"Bennett BJ, Farber CR, Orozco L, Eskin E, Lusis AJ",2010
HMDPpheno3,"tail cuff","Heart rate and blood pressure. Conscious mice.",pheno,HMDP,58,m,,,9-10wks,"Korshunov VA",2012
HMDPpheno4,"fear conditioning test","Contextual fear, cued fear.",pheno,HMDP,94,m,,,10wks,"Park CC, Gale GD, Lusis AJ, Smith DJ",2011
HMDPpheno5,"complete blood count",Hematology.,pheno,HMDP,83,m,,,16wks,"Davis RC, van Nas A, Bennett BJ, Eskin E, Lusis AJ",2013
HMDPpheno6,"metabolite quantification","Liver metabolic profiling. Molecular measures of amino acids. 16h fast.",pheno,HMDP,106,m,,,16wks,"Ghazalpour A, Bennett BJ, Orozco L, Lusis AJ",2014
HMDPpheno7,"metabolite quantification","Liver metabolic profiling. Molecular measures of carbs, cofactors, vitamins, energy, xenobiotics. 16h fast.",pheno,HMDP,106,m,,,16wks,"Ghazalpour A, Bennett BJ, Orozco L, Lusis AJ",2014
HMDPpheno8,"metabolite quantification","Liver metabolic profiling. Molecular measures of lipids (non-lysolipids). 16h fast.",pheno,HMDP,106,m,,,16wks,"Ghazalpour A, Bennett BJ, Orozco L, Lusis AJ",2014
HMDPpheno9,"metabolite quantification","Liver metabolic profiling. Molecular measures of lipids (lysolipids). 16h fast.",pheno,HMDP,106,m,,,16wks,"Ghazalpour A, Bennett BJ, Orozco L, Lusis AJ",2014
Hunter1,histopathology,"Metastatic progression of mammary tumor and genetic background.",pheno,"MMTV PyVT transgenic",28,f,,,various,"Hunter KW",1998
Iraqi1,"computed tomography","Susceptibility to periodontitis. Mice infected with P. gingivalis and F. nucleatum vs. control.",pheno,"CC pre",23,both,,"P.gingivalis and F.nucleatum",8wks,"Iraqi FA",2013
Ishimori1,"study archive","Lipids, atherosclerosis lesions, parathyroid hormone after high-fat diet.",qtla,"QTL population",,f,"C57BL/6J x 129S1/SvImJ intercross","high-fat diet",20wks,"Ishimori N, Churchill GA",2004
ITP1,"colony observation","Life span study. Various treatments vs. controls.",phenoarchive,"UM-HET3 population",1,both,,,"max lifespan","Miller RA, Strong R, Harrison DE",2017
ITP1,"body weight","Various interventions vs. controls.",phenoarchive,"UM-HET3 population",1,both,,,"max lifespan","Miller RA, Strong R, Harrison DE",2017
ITP1,"grip strength","Intervention vs. controls.",phenoarchive,"UM-HET3 population",1,both,,,"max lifespan","Miller RA, Strong R, Harrison DE",2017
ITP1,rotarod,"Intervention vs. controls.",phenoarchive,"UM-HET3 population",1,both,,,"max lifespan","Miller RA, Strong R, Harrison DE",2017
ITP1,"uterus weight","Uterus weight, ovariectomy study with and without an intervention.",phenoarchive,"UM-HET3 population",1,both,,,"max lifespan","Miller RA, Strong R, Harrison DE",2017
ITP1,"fat pad weights","Fat pad weight (subscapular, mesenteric, gonadal, inguinal)",phenoarchive,"UM-HET3 population",1,both,,,"max lifespan","Miller RA, Strong R, Harrison DE",2017
Jarvis1,"study archive","Fat pad weight. Epistatic interactions.",qtla,"QTL population",,both,"SM/J x LG/J advanced intercross",,13+wks,"Jarvis JP, Cheverud JM",2011
Jax1,"body weight","Body weight and growth curve from age 3wks to 10 wks, weighed weekly.",pheno,inbred,24,both,,,8wks,"Jackson Laboratory",2000
Jax2,"MHC haplotype tissue typing","Major histocompatibility complex (MHC) H2 haplotype.",pheno,inbred,56,both,,,,"Jackson Laboratory",2000
Jax3,"colony observation","Reproductive performance.",pheno,inbred,33,f,,,various,"Jackson Laboratory",1991
Jax4,"colony observation","Appearance, coat color",pheno,inbred,61,both,,,,"Jackson Laboratory",2006
Jax5,"colony observation","Reproductive performance.",pheno,inbred,35,f,,,various,"Jackson Laboratory",2009
Jax6,"study archive","Exome genotype data. Fastq files.",phenoarchive,inbred,6,m,,,,"Jackson Laboratory",2013
Jaxpheno1,DXA,"Body mass, fat mass, lean mass, bone mineral density and content, bone area.",pheno,inbred,11,both,,,"8, 16 wks","Jackson Laboratory",2006
Jaxpheno1,"body weight",,pheno,inbred,11,both,,,"8, 16 wks","Jackson Laboratory",2006
Jaxpheno10,"study archive","Lipid and glucose levels in 2 knockouts vs. control. No fast.",phenoarchive,other,2,both,,,,"Jackson Laboratory",2016
Jaxpheno11,"study archive","High-fat diet and early stages of type 2 diabetes.",onestrain,1strain,1,m,C57BL/6J,"high-fat diet",,"Jackson Laboratory",2017
Jaxpheno12,"study archive","Type 1 diabetes incidence and other phenotypes on a 6% fat diet.",onestrain,1strain,1,both,NOD/ShiLtJ,,"3-30 wks","Jackson Laboratory",2018
Jaxpheno13,"study archive","Multi-system assessment.",onestrain,1strain,1,both,BALB/cJ,,"3-15 wks","Jackson Laboratory",2018
Jaxpheno14,"study archive","Multi-system assessment.",onestrain,1strain,1,both,BALB/cByJ,,3-12wks,"Jackson Laboratory",2018
Jaxpheno15,"study archive","Effects of a 10% fat diet.",onestrain,1strain,1,both,B6.Cg-Lep<ob>/J,"high-fat diet",4-16wks,"Jackson Laboratory",2018
Jaxpheno16,"study archive","Multi-system assessment.",onestrain,1strain,1,both,B6.BKS(D)-Lepr<db>/J,,4-20wks,"Jackson Laboratory",2018
Jaxpheno17,"study archive","Multi-system assessment.",onestrain,1strain,1,both,"BKS.cg-Dock7<m> +/+ Lepr<db>/J",,4-10wks,"Jackson Laboratory",2018
Jaxpheno18,"study archive","Multi-system assessment.",phenoarchive,other,2,both,,,3-14wks,"Jackson Laboratory",2018
Jaxpheno19,"study archive","Multi-system assessment.",onestrain,1strain,1,both,MRL/MpJ-Fas<lpr>/J,,3-24wks,"Jackson Laboratory",2018
Jaxpheno2,"organ weights","Brain, heart, kidney, liver, spleen weights.",pheno,inbred,11,both,,,"8, 16 wks","Jackson Laboratory",2006
Jaxpheno2,"body weight",,pheno,inbred,11,both,,,"8, 16 wks","Jackson Laboratory",2006
Jaxpheno20,"study archive","Multi-system assessment.",onestrain,1strain,1,both,"NOD.Cg-Prkdc<scid> Il2rg<tm1Wjl>/SzJ",,3-24wks,"Jackson Laboratory",2018
Jaxpheno3,"metabolic panel","Clinical blood chemistry (plasma). 4h fast.",pheno,inbred,11,both,,,"8, 16 wks","Jackson Laboratory",2006
Jaxpheno3,"lipid profile","Cholesterol, HDL, triglycerides, free fatty acids. 4h fast, plasma.",pheno,inbred,11,both,,,"8, 16 wks","Jackson Laboratory",2006
Jaxpheno4,"complete blood count",Hematology.,pheno,inbred,11,both,,,"8, 16 wks","Jackson Laboratory",2006
Jaxpheno5,"body weight","Body weight and growth curve from age 3wks to 16wks, weighed weekly.",pheno,inbred,10,both,,,3-16wks,"Jackson Laboratory",2014
Jaxpheno6,"immune cell quantification","White blood cell and immune cell differentials.",pheno,inbred,11,both,,,"8, 16 wks","Jackson Laboratory",2006
Jaxpheno6,"body weight",,pheno,inbred,11,both,,,"8, 16 wks","Jackson Laboratory",2006
Jaxpheno7,"observation (SHIRPA)","Behavior, and neurosensory responses (SHIRPA protocol).",pheno,inbred,6,m,,,10wks,"Jackson Laboratory",2010
Jaxpheno7,"grip strength","Peak tension.",pheno,inbred,6,m,,,10wks,"Jackson Laboratory",2010
Jaxpheno7,rotarod,"Latency to fall from accelerating rotarod.",pheno,inbred,6,m,,,10wks,"Jackson Laboratory",2010
Jaxpheno8,"ABR test","Auditory brainstem response.",pheno,inbred,7,m,,,10-13wks,"Jackson Laboratory",2010
Jaxpheno8,echocardiography,"Cardiovascular function and morphology.",pheno,inbred,7,m,,,10-13wks,"Jackson Laboratory",2010
Jaxpheno9,"study archive","Diabetes onset and body weight in a non-obese diabetic strain on standard diet. Blood glucose sampling.",onestrain,1strain,1,both,NOD/ShiLtJ,,,"Jackson Laboratory",2014
Jaxwest1,"body weight",,pheno,inbred,7,both,,,8-14wks,"Jackson Laboratory",2003
Jaxwest1,DXA,"Body mass, fat mass, lean mass, bone mineral density and content (whole body, femur, spine).",pheno,inbred,7,both,,,8-14wks,"Jackson Laboratory",2003
Jaxwest1,ECG,"Heart rate and wave intervals. Conscious.",pheno,inbred,7,both,,,8-14wks,"Jackson Laboratory",2003
Jaxwest1,"tail cuff","Heart rate and blood pressure. Conscious mice.",pheno,inbred,7,both,,,8-14wks,"Jackson Laboratory",2003
Jaxwest1,"grip strength","Peak tension.",pheno,inbred,7,both,,,8-14wks,"Jackson Laboratory",2003
Jaxwest1,"nociception assay","Hot plate.",pheno,inbred,7,both,,,8-14wks,"Jackson Laboratory",2003
Jaxwest10,"study archive","Effect of glatiramer acetate on inflammatory bowel disease induced by dextran sulfate sodium.",onestrain,1strain,1,m,C57BL/6J,"glatiramer acetate",,"Jackson Laboratory",2009
Jaxwest11,"study archive","Effect of rosiglitazone peptide on diet-induced obesity, type 2 diabetes.",onestrain,1strain,1,m,"BKS.Cg-Dock7<m> +/+ Lepr<db>/J",rosiglitazone,,"Jackson Laboratory",2009
Jaxwest12,"study archive","Muscle defects, histopathology of an mdx Duchenne's muscular dystrophy model.",onestrain,1strain,1,both,"BKS.Cg-Dock7<m> +/+ Lepr<db>/J",,,"Jackson Laboratory",2011
